year,fao_code,item,category,production_t,prod_loss_pct,prod_loss_t,postharvest_loss_pct,postharvest_loss_t,farmgate_t,farmgate_low,farmgate_high,retail_supply_t,dist_loss_pct,dist_loss_t,retail_loss_pct,retail_loss_t,retail_t,retail_low,retail_high,total_t
2010,116,Potatoes,Vegetables,47627.2,14.2,6763.06,8.7,3555.18,10318.2,7346.3,13184.2,126675.66,2.5,3166.89,5.8,7163.51,10330.4,7269.8,13357.9,20648.6
2010,122,Sweet potatoes,Vegetables,0.0,14.2,0.0,8.7,0.0,0.0,0.0,0.0,6724.71,2.5,168.12,5.8,380.28,548.4,385.9,709.1,548.4
2010,358,Cabbages,Vegetables,5677.0,14.2,806.13,8.7,423.77,1229.9,875.7,1571.5,30155.73,2.5,753.89,5.8,1705.31,2459.2,1730.6,3179.9,3689.1
2010,367,Asparagus,Vegetables,0.0,14.2,0.0,8.7,0.0,0.0,0.0,0.0,3207.85,2.5,80.2,5.8,181.4,261.6,184.1,338.3,261.6
2010,372,Lettuce and chicory,Vegetables,9729.0,14.2,1381.52,8.7,726.23,2107.7,1500.7,2693.2,41830.78,2.5,1045.77,5.8,2365.53,3411.3,2400.6,4411.0,5519.0
2010,373,Spinach,Vegetables,869.0,14.2,123.4,8.7,64.87,188.3,134.0,240.6,3272.84,2.5,81.82,5.8,185.08,266.9,187.8,345.1,455.2
2010,388,Tomatoes,Vegetables,63658.0,14.2,9039.44,8.7,4751.81,13791.3,9819.0,17621.9,117413.86,2.5,2935.35,5.8,6639.75,9575.1,6738.3,12381.3,23366.4
2010,393,Cauliflowers and broccoli,Vegetables,1139.0,14.2,161.74,8.7,85.02,246.8,175.7,315.3,18155.73,2.5,453.89,5.8,1026.71,1480.6,1041.9,1914.5,1727.3
2010,394,"Pumpkins, squash and gourds",Vegetables,13038.0,14.2,1851.4,8.7,973.23,2824.6,2011.1,3609.2,9460.45,2.5,236.51,5.8,534.99,771.5,542.9,997.6,3596.1
2010,397,Cucumbers and gherkins,Greenhouse Veg,23352.3,14.2,3316.03,8.7,1743.16,5059.2,3602.0,6464.4,20564.07,2.5,514.1,5.8,1162.9,1677.0,1180.2,2168.5,6736.2
2010,399,Eggplants (aubergines),Vegetables,0.0,14.2,0.0,8.7,0.0,0.0,0.0,0.0,2295.52,2.5,57.39,5.8,129.81,187.2,131.8,242.1,187.2
2010,401,Chillies and peppers,Vegetables,32075.1,14.2,4554.66,8.7,2394.28,6948.9,4947.5,8879.1,22028.2,2.5,550.71,5.8,1245.69,1796.4,1264.2,2322.9,8745.3
2010,403,Onions,Vegetables,678.0,14.2,96.28,8.7,50.61,146.9,104.6,187.7,36945.43,2.5,923.64,5.8,2089.26,3012.9,2120.3,3895.9,3159.8
